building_seed,row_seed,role_seed,model_seed,position,building_id,site_id,sampling_attempt,site_draw_rank,site_candidate_count,site_tie_priority,tree_role,rows,anomalies,anomaly_rate,meter_0_rows,meter_0_anomalies,meter_0_present,meter_0_row_share,meter_0_anomaly_rate,meter_1_rows,meter_1_anomalies,meter_1_present,meter_1_row_share,meter_1_anomaly_rate,meter_2_rows,meter_2_anomalies,meter_2_present,meter_2_row_share,meter_2_anomaly_rate,meter_3_rows,meter_3_anomalies,meter_3_present,meter_3_row_share,meter_3_anomaly_rate,meter_count,anomaly_meter_count,zero_anomaly,anomaly_bin,size_bin,primary_use,meter_presence,first_included_K
48,42,,42,1,388,3,2,1,137,9,fit,8782,0,0.0,8782,0,1,1.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,0,1,zero,size_q2,Public services,0,10
48,42,,42,2,1072,13,2,1,77,11,fit,17568,7148,0.4068761384335155,0,0,0,0.0,0.0,8784,2177,1,0.5,0.2478369763205828,8784,4971,1,0.5,0.5659153005464481,0,0,0,0.0,0.0,2,2,0,positive_high,size_q3,Healthcare,"1,2",10
48,42,,42,3,192,2,2,1,68,0,fit,26151,5881,0.2248862376199762,8781,40,1,0.3357806584834232,0.0045552898303154,8781,5676,1,0.3357806584834232,0.6463956269217629,0,0,0,0.0,0.0,8589,165,1,0.3284386830331536,0.0192106182326231,3,3,0,positive_high,size_q4,Education,"0,1,3",10
48,42,,42,4,882,9,2,1,62,1,fit,8766,206,0.0234998859228838,8766,206,1,1.0,0.0234998859228838,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,1,0,positive_mid,size_q1,Education,0,10
48,42,,42,5,1364,15,2,1,62,15,early_stop,14944,62,0.0041488222698072,7472,0,1,0.5,0.0,0,0,0,0.0,0.0,7472,62,1,0.5,0.0082976445396145,0,0,0,0.0,0.0,2,1,0,positive_mid,size_q3,Utility,"0,2",10
48,42,,42,6,42,0,2,1,53,10,fit,8784,3380,0.3847905282331512,8784,3380,1,1.0,0.3847905282331512,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,1,0,positive_high,size_q2,Other,0,10
48,42,,42,7,1262,14,2,1,51,4,fit,26352,651,0.0247040072859744,8784,156,1,0.3333333333333333,0.01775956284153,8784,210,1,0.3333333333333333,0.0239071038251366,0,0,0,0.0,0.0,8784,285,1,0.3333333333333333,0.0324453551912568,3,3,0,positive_mid,size_q4,Office,"0,1,3",10
48,42,,42,8,384,3,2,2,137,9,fit,8782,11,0.0012525620587565,8782,11,1,1.0,0.0012525620587565,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,1,0,positive_low,size_q2,Office,0,10
48,42,,42,9,616,4,2,1,45,12,fit,8783,0,0.0,8783,0,1,1.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,0,1,zero,size_q2,Education,0,10
48,42,,42,10,712,5,2,1,45,14,early_stop,8784,79,0.0089936247723132,8784,79,1,1.0,0.0089936247723132,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,1,0,positive_mid,size_q3,Education,0,10
