building_seed,row_seed,role_seed,model_seed,position,building_id,site_id,sampling_attempt,site_draw_rank,site_candidate_count,site_tie_priority,tree_role,rows,anomalies,anomaly_rate,meter_0_rows,meter_0_anomalies,meter_0_present,meter_0_row_share,meter_0_anomaly_rate,meter_1_rows,meter_1_anomalies,meter_1_present,meter_1_row_share,meter_1_anomaly_rate,meter_2_rows,meter_2_anomalies,meter_2_present,meter_2_row_share,meter_2_anomaly_rate,meter_3_rows,meter_3_anomalies,meter_3_present,meter_3_row_share,meter_3_anomaly_rate,meter_count,anomaly_meter_count,zero_anomaly,anomaly_bin,size_bin,primary_use,meter_presence,first_included_K
45,42,,42,1,530,3,7,1,137,13,fit,8782,0,0.0,8782,0,1,1.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,0,1,zero,size_q2,Public services,0,10
45,42,,42,2,1098,13,7,1,77,9,fit,26352,2183,0.0828400121432908,8784,135,1,0.3333333333333333,0.0153688524590163,8784,1784,1,0.3333333333333333,0.2030965391621129,8784,264,1,0.3333333333333333,0.0300546448087431,0,0,0,0.0,0.0,3,3,0,positive_high,size_q4,Office,"0,1,2",10
45,42,,42,3,176,2,7,1,68,7,fit,26349,3443,0.1306690956013511,8783,0,1,0.3333333333333333,0.0,8783,0,1,0.3333333333333333,0.0,0,0,0,0.0,0.0,8783,3443,1,0.3333333333333333,0.3920072868040533,3,1,0,positive_high,size_q4,Education,"0,1,3",10
45,42,,42,4,996,9,7,1,62,0,fit,26329,1050,0.0398799802499145,8768,215,1,0.3330168255535721,0.0245209854014598,8779,217,1,0.3334346158228569,0.0247180772297528,8782,618,1,0.3335485586235709,0.0703712138465042,0,0,0,0.0,0.0,3,3,0,positive_mid,size_q4,Education,"0,1,2",10
45,42,,42,5,1424,15,7,1,62,14,early_stop,14917,61,0.0040892940939867,7445,0,1,0.499094992290675,0.0,0,0,0,0.0,0.0,7472,61,1,0.5009050077093249,0.0081638115631691,0,0,0,0.0,0.0,2,1,0,positive_mid,size_q3,Lodging/residential,"0,2",10
45,42,,42,6,76,0,7,1,53,3,fit,16053,3381,0.2106148383479723,8784,3380,1,0.547187441599701,0.3847905282331512,7269,1,1,0.452812558400299,0.0001375705048837,0,0,0,0.0,0.0,0,0,0,0.0,0.0,2,2,0,positive_high,size_q3,Education,"0,1",10
45,42,,42,7,1234,14,7,1,51,12,fit,26352,5578,0.2116727383120825,8784,2328,1,0.3333333333333333,0.2650273224043716,8784,1964,1,0.3333333333333333,0.2235883424408014,0,0,0,0.0,0.0,8784,1286,1,0.3333333333333333,0.1464025500910746,3,3,0,positive_high,size_q4,Education,"0,1,3",10
45,42,,42,8,434,3,7,2,137,13,fit,8781,0,0.0,8781,0,1,1.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,0,1,zero,size_q1,Education,0,10
45,42,,42,9,744,5,7,1,45,1,fit,8784,77,0.0087659380692167,8784,77,1,1.0,0.0087659380692167,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,1,0,positive_mid,size_q3,Entertainment/public assembly,0,10
45,42,,42,10,606,4,7,1,45,2,early_stop,8750,0,0.0,8750,0,1,1.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,0,1,zero,size_q1,Utility,0,10
